Time,Qbor_pos_first_year,Qbor_pos_second_year,Qbor_pos_tenth_year,Qbor_pos_avg_20_years
1422000,4288.398926,3944.232178,4210.059082,4161.924755900001
1425600,4288.052246,4173.27002,4292.879883,4277.3371582
1429200,4504.949219,4343.605469,4333.359863,4340.8655761499995
1432800,4577.472656,4405.628906,4355.907227,4369.30791025
1436400,4605.13623,4431.766113,4367.825684,4382.983691450001
1440000,4616.898926,4441.139648,4371.936035,4387.84973145
1443600,4616.717773,4398.666992,4345.281738,4361.292797800001
1447200,4585.446289,3061.365234,3516.888184,3537.95618905
1450800,4106.116211,1906.31311,2121.484863,2206.4037231
1454400,2451.789063,1331.359863,1440.101196,1483.3779052
1458000,1637.289063,1001.803711,1066.380615,1090.53642885
1461600,1202.066162,787.6664429,830.1141357,845.8334594649999
1465200,932.2179565,639.8198242,668.9866943,680.1810028049999
1468800,749.499939,533.8200684,554.5449829,562.9100799600001
1472400,620.2068481,455.0145264,470.2746277,476.76564331
1476000,1194.663696,1500.756836,1229.8396,1244.4733520999998
1479600,2960.825684,2977.151611,2823.441406,2839.57503665
1483200,3707.890381,3615.854736,3504.040039,3521.0392334999997
1486800,4076.501221,3947.719482,3851.631348,3868.74591065
1490400,4283.418945,4140.023926,4050.878174,4067.9427247
1494000,4407.485352,4256.23584,4171.058594,4181.0006104
1497600,4484.048828,4328.15625,4245.451172,4188.755725099999
1501200,4532.564941,4373.869141,4292.750488,4161.72934575
1504800,4563.826172,4403.334473,4070.355225,4173.749194349999
1508400,4583.496094,4421.745117,3931.281738,4192.06805415
1512000,4431.544434,4188.31543,4244.112305,4214.8072631
1515600,4076.929688,4048.175781,4341.04248,4292.478662150001
1519200,4463.491211,4339.119141,4374.735352,4372.707470650001
1522800,4576.787109,4424.685547,4387.654297,4397.7710937
1526400,4612.345215,4444.840332,4390.973145,4403.8304444
1530000,4624.504883,4406.694336,4376.777344,4388.686206099999
1533600,4628.140137,3348.746826,4319.275879,4275.334094349999
1537200,4579.67627,2054.851318,3365.157959,3409.7935912500006
1540800,3172.970947,1419.699097,2060.805908,2531.1067688
1544400,1998.981201,1063.813721,2495.900146,1944.7795288000002
1548000,1411.183716,835.4116211,2016.366699,1625.35487968
1551600,1801.227783,1807.571777,1309.074097,1423.8970336999998
1555200,2012.047119,1531.549072,950.0464478,1060.2714874150001
1558800,1654.429321,2089.262939,743.578186,896.3727050649999
1562400,3228.690674,3293.143799,2354.980469,2453.7455688500004
1566000,3888.199951,3824.445557,3342.431396,3399.4287842
1569600,4196.865234,4086.212646,3786.772461,3826.250244149999
1573200,4363.407715,4233.42334,4019.709229,4050.4354493499995
1576800,4461.82666,4321.824219,4156.114258,4181.752294949999
1580400,4521.849121,4376.107422,4238.972168,4261.6124267000005
1584000,4559.333008,4410.17627,4290.45752,4311.31506355
1587600,4583.375488,4432.036133,4323.365723,4343.12048345
1591200,4598.709473,4445.808594,4344.602539,4363.6259278
1594800,4607.469727,4453.338379,4357.52832,4376.0285889
1598400,4611.137695,4455.976074,4364.225586,4365.3671142
1602000,4611.064941,4455.021973,4366.386719,4284.7730834
1605600,4608.342773,4449.837402,4360.183594,4252.3873657
1609200,4589.370605,4391.843262,3845.681885,4217.7979737000005
1612800,3906.636963,2915.762451,4079.189941,3951.0022094
1616400,3647.5,3041.044189,2590.375,2610.119812
1620000,2318.032471,1895.901245,1677.972656,1694.9673767
1623600,1556.12439,1308.87207,1209.802368,1217.7341979
1627200,1149.671997,986.067749,931.4073486,1020.2947662050001
1630800,900.6514893,782.4330444,746.0898438,803.1736114500001
1634400,731.9711304,642.0200195,615.9139404,742.2645507750001
1638000,828.9575195,540.5674438,521.03302,598.6545257199999
1641600,2756.195313,1352.053833,1370.627441,1513.471661395
1645200,3604.678711,2927.329346,2893.357422,2935.1158936
1648800,4023.804932,3613.731689,3558.596191,3588.7669555499997
1652400,4253.00293,3953.247559,3888.798584,3913.7849854499996
1656000,4387.968262,4144.159668,4074.991211,4087.7118287
1659600,4470.186523,4258.933594,4187.125,4136.9799317
1663200,4521.739258,4329.9375,4246.005859,4114.7743164
1666800,4555.208984,4375.109375,4069.242432,4134.370373549999
1670400,4577.713867,4394.416504,3792.885742,4161.069299300001
1674000,4442.044434,4201.48291,4207.851563,4193.6382447
1677600,3987.043701,3929.003662,4339.52832,4272.454199200001
1681200,4430.27002,4315.328613,4387.249023,4378.5466797
1684800,4577.57666,4430.989746,4406.589355,4414.0277831
1688400,4623.702637,4468.182129,4413.224121,4425.0310546499995
1692000,4638.387207,4480.345215,4412.570313,4426.12959
1695600,4641.076172,4481.956055,4407.568848,4422.1364015
1699200,4637.387207,4472.992676,4399.216309,4413.642700150001
1702800,4629.831055,4408.200684,4365.771484,4374.581298800001
1706400,4615.836914,2938.771973,3781.839844,3604.3158447
