Time,Qbor_pos_first_year,Qbor_pos_avg_20_years
2376000,4386.53125,3079.5889648
2379600,4394.024902,3092.28006585
2383200,4397.719727,3071.9194581
2386800,4398.369629,3103.1446411499996
2390400,4376.980957,3132.7436402
2394000,3643.604248,3026.43536375
2397600,3515.502441,3108.21169435
2401200,3960.036133,3264.6754759999994
2404800,2908.254395,3251.20255135
2408400,1826.175781,2975.4667969000006
2412000,2374.969238,2969.4677369
2415600,1970.147461,2765.2065735
2419200,1277.339722,2696.5556519499996
2422800,929.949646,2753.573318555
2426400,1747.630127,2863.8569641500003
2430000,3085.079834,3024.63531505
2433600,3588.861328,3099.20032965
2437200,3899.182617,3086.3699217500002
2440800,4094.021729,3072.09704575
2444400,4211.085449,3084.8274902
2448000,4281.952148,3087.4764526999998
2451600,4326.144531,3080.8620361999992
2455200,4354.144531,3068.0266113
2458800,4371.11084,3112.08293455
2462400,4380.246582,3133.92775885
2466000,4383.305664,3200.0107544000007
2469600,4334.338867,3096.18396
2473200,3444.817383,3075.8461912999996
2476800,2933.290039,3077.98186035
2480400,1842.576782,2941.4867003499994
2484000,1556.91333,2822.4550231000003
2487600,3049.148926,3001.255297800001
2491200,1926.521729,2947.8434754500004
2494800,1248.088501,2700.47722165
2498400,913.3463135,2506.9275939499994
2502000,718.1172485,2487.2648956499997
2505600,587.0687866,2530.1991333200003
2509200,1418.069458,2559.39196938
2512800,2924.261963,2919.8191893999997
2516400,3514.273438,3089.97243665
2520000,3774.837402,3196.849707
2523600,3996.713867,3203.73151855
2527200,4144.59375,3204.9805420500006
2530800,4235.456055,3217.1006470500006
2534400,4292.194336,3173.3603882499997
2538000,4329.130371,3125.17087395
2541600,4354.058594,3099.8111206499993
2545200,4371.191406,3093.6062255499996
2548800,4382.946777,3063.0890747
2552400,4390.792969,3101.5774414499997
2556000,4395.740234,3118.4524169999995
2559600,4398.552734,3166.7286621000003
2563200,4399.737793,3131.8151000499997
2566800,4399.793945,3099.28951415
2570400,4328.976563,3142.4280762000003
2574000,3893.819824,3044.47718505
2577600,4140.684082,3114.0486694500005
2581200,2779.428223,2972.7786255
2584800,1782.571899,2813.4686644999992
2588400,1277.699097,2812.2717712999997
2592000,1102.589233,2853.05818475
2595600,2889.824951,2986.8372194
2599200,3609.452637,3063.5399291999997
2602800,3915.221924,3124.75294185
2606400,4078.826904,3093.8994262999995
2610000,4201.23584,3087.21715095
2613600,4279.237305,3069.2294555
2617200,4326.987793,3077.81843265
2620800,4357.066895,3125.43260505
2624400,4376.805664,3115.24749755
2628000,4389.668457,3087.6492676999997
2631600,4397.209473,3104.5162597999997
2635200,4400.729004,3087.5193114500003
2638800,4401.164551,3063.6361084499995
2642400,4399.238281,3048.16766355
2646000,4395.610352,3067.05775155
2649600,4385.040527,3049.5844725999996
2653200,4239.532227,3039.9222167499997
2656800,2538.46582,3039.96041255
2660400,3528.291992,3094.5726075000007
2664000,2256.986084,3065.5838500500004
2667600,1492.545532,2775.3228699
2671200,1097.135132,2605.8621583
2674800,860.2288208,2625.18337084
2678400,700.4298706,2662.8275329849994
2682000,586.4318848,2517.37163995
2685600,502.1190186,2450.4875275349996
2689200,437.6485596,2397.6466614250003
2692800,1245.197754,2580.2992004499997
2696400,2860.138672,2975.4902954
2700000,3549.438721,3100.29764405
2703600,3888.634277,3191.9949707
2707200,4079.550049,3200.5254151500003
2710800,4194.289551,3187.9347412
2714400,4264.763184,3159.53749985
2718000,3945.955566,3086.359619150001
2721600,4060.33374,3049.7626953
2725200,4272.89209,3075.4197876499998
2728800,4341.277344,3090.1057739499997
2732400,4301.765137,3107.3628419499996
2736000,3006.705322,2988.3897828500003
2739600,1875.526978,2886.0367493999997
2743200,3064.549561,3054.17667245
2746800,2776.859131,3002.0783813999997
